Year,STATEID,State Abbreviation,CUSTOTT,JURTOTT,STATE POP,CUSTRATE,JURRATE
1993,26,MI,39318,39318,"9,540,114",0.41213344,0.41213344
1993,27,MN,4060,4200,"4,555,954",0.089114157,0.092187059
1993,28,MS,8326,9907,"2,655,100",0.313585176,0.373130956
1993,29,MO,16178,16178,"5,271,175",0.306914492,0.306914492
1993,30,MT,1541,1541,"844,761",0.182418459,0.182418459
1993,31,NE,2483,2518,"1,625,590",0.152744542,0.154897606
1993,32,NV,6153,6412,"1,411,215",0.43600727,0.45436025
1993,33,NH,1899,1775,"1,129,458",0.168133742,0.157155025
1993,34,NJ,20237,23831,"7,948,915",0.254588205,0.299801923
1993,35,NM,3499,3498,"1,636,453",0.213816101,0.213754993
1993,36,NY,64569,64569,"18,374,954",0.351396798,0.351396798
1993,37,NC,22098,21892,"7,042,818",0.31376645,0.310841484
1993,38,ND,572,498,"641,216",0.08920551,0.077664937
1993,39,OH,40253,40641,"11,101,140",0.362602399,0.366097536
1993,40,OK,12108,16409,"3,252,285",0.372292096,0.504537579
1993,41,OR,6544,6557,"3,060,367",0.213830563,0.214255349
1993,42,PA,26059,26050,"12,119,724",0.215013147,0.214938888
1993,44,RI,2600,2783,"1,015,112",0.256129373,0.27415694
1993,45,SC,16933,18704,"3,663,314",0.462231739,0.510575943
1993,46,SD,1570,1553,"722,159",0.217403647,0.215049594
1993,47,TN,11495,12824,"5,137,584",0.2237433,0.249611491
1993,48,TX,70127,92013,"18,161,612",0.386127619,0.506634543
1993,49,UT,3046,2888,"1,898,404",0.160450568,0.152127787
1993,50,VT,1188,1223,"577,748",0.205625982,0.211683987
1993,51,VA,18258,22850,"6,509,630",0.280476771,0.351018414
1993,53,WA,10429,10419,"5,278,842",0.197562268,0.197372833
1993,54,WV,1805,1805,"1,817,539",0.099310111,0.099310111
1993,55,WI,8781,8781,"5,084,889",0.172688135,0.172688135
1993,56,WY,1102,1129,"473,081",0.232941082,0.23864835
1994,1,AL,19179,19573,"4,260,229",0.450187067,0.459435397
1994,2,AK,2745,3292,"603,308",0.45499148,0.545658271
1994,4,AZ,19746,19746,"4,245,089",0.465149258,0.465149258
1994,5,AR,8242,8957,"2,494,019",0.330470618,0.359139205
1994,6,CA,125605,126091,"31,484,435",0.39894316,0.40048678
1994,8,CO,9177,10717,"3,724,168",0.246417455,0.287768973
1994,9,CT,14246,14380,"3,316,121",0.429598317,0.433639183
1994,10,DE,4451,4466,"717,545",0.620309528,0.622399989
1994,11,DC,10597,10949,"589,239",1.798421354,1.858159423
1994,12,FL,57168,57163,"14,239,444",0.40147635,0.401441236
1994,13,GA,33425,33425,"7,157,165",0.467014523,0.467014523
1994,15,HI,2909,3333,"1,187,536",0.244960995,0.280665176
1994,16,ID,2493,2811,"1,145,140",0.217702639,0.245472169
1994,17,IL,36531,36531,"11,912,585",0.306658882,0.306658882
1994,18,IN,15014,15014,"5,793,526",0.259151335,0.259151335
1994,19,IA,5437,5437,"2,850,746",0.190722008,0.190722008
1994,20,KS,6369,6371,"2,580,513",0.24681139,0.246888894
1994,21,KY,9097,11066,"3,849,088",0.2363417,0.287496675
1994,22,LA,15982,24063,"4,347,481",0.367615178,0.553492931
1994,23,ME,1460,1474,"1,242,662",0.117489712,0.118616325
1994,24,MD,20719,20998,"5,023,060",0.412477653,0.418032036
1994,25,MA,11396,11293,"6,095,241",0.186965536,0.185275693
1994,26,MI,40631,40631,"9,597,737",0.423339377,0.423339377
1994,27,MN,4372,4575,"4,610,355",0.094830008,0.099233139
1994,28,MS,9705,10930,"2,688,992",0.360915912,0.406472016
1994,29,MO,17911,17898,"5,324,497",0.336388583,0.336144428
1994,30,MT,1708,1764,"861,306",0.198303507,0.204805261
1994,31,NE,2701,2711,"1,639,041",0.164791485,0.165401598
1994,32,NV,6884,6993,"1,499,298",0.459148215,0.466418284
1994,33,NH,2066,2021,"1,142,560",0.180822014,0.17688349
1994,34,NJ,21219,24632,"8,014,306",0.264764036,0.307350381
1994,35,NM,3868,3712,"1,682,398",0.229909926,0.220637447
