Year,FIPS,All Ages in Poverty Percent,Median Household Income in Dollars
2010,28015,18.8,"$34,436 "
2009,28015,19.8,"$34,495 "
2008,28015,17.8,"$35,106 "
2007,28015,20.2,"$30,903 "
2006,28015,19.8,"$32,444 "
2005,28015,18.4,"$31,381 "
2004,28015,16.8,"$30,407 "
2003,28015,16.2,"$30,728 "
2002,28015,16.9,"$29,482 "
2001,28015,17.6,"$29,364 "
2000,28015,16.8,"$29,718 "
1999,28015,18.1,"$28,185 "
1998,28015,17.9,"$26,941 "
1997,28015,18,"$24,421 "
1996,28015,NA,NA
1995,28015,20.8,"$22,257 "
1993,28015,24.4,"$19,039 "
1989,28015,28.7,"$15,443 "
2017,28017,18.2,"$37,231 "
2016,28017,22.2,"$34,611 "
2015,28017,26.6,"$31,937 "
2014,28017,24.7,"$31,616 "
2013,28017,24.4,"$32,525 "
2012,28017,24.8,"$31,601 "
2011,28017,21.4,"$30,524 "
2010,28017,24.8,"$31,702 "
2009,28017,27.6,"$29,991 "
2008,28017,22.1,"$30,187 "
2007,28017,20.1,"$30,849 "
2006,28017,21.9,"$29,692 "
2005,28017,22.2,"$28,866 "
2004,28017,20.1,"$28,187 "
2003,28017,17.6,"$28,030 "
2002,28017,17.4,"$26,792 "
2001,28017,18.6,"$26,448 "
2000,28017,16.2,"$27,529 "
1999,28017,17.7,"$26,623 "
1998,28017,17.4,"$26,007 "
1997,28017,16.6,"$24,926 "
1996,28017,NA,NA
1995,28017,18.6,"$23,159 "
1993,28017,20.9,"$20,790 "
1989,28017,18.1,"$18,222 "
2017,28019,22.1,"$37,561 "
2016,28019,23.1,"$36,194 "
2015,28019,24.5,"$35,370 "
2014,28019,24.2,"$34,548 "
2013,28019,25.9,"$32,922 "
2012,28019,25.1,"$32,814 "
2011,28019,26.6,"$31,177 "
2010,28019,23.4,"$31,632 "
2009,28019,24.9,"$30,928 "
2008,28019,24.7,"$31,771 "
2007,28019,25.3,"$31,924 "
2006,28019,25.6,"$30,152 "
2005,28019,25.8,"$29,598 "
2004,28019,22.1,"$28,015 "
2003,28019,21.6,"$26,707 "
2002,28019,24.6,"$25,994 "
2001,28019,24.5,"$25,688 "
2000,28019,21.8,"$26,932 "
1999,28019,19.8,"$25,888 "
1998,28019,18.9,"$24,571 "
1997,28019,21.5,"$23,367 "
1996,28019,NA,NA
1995,28019,23.2,"$21,892 "
1993,28019,26.4,"$19,279 "
1989,28019,28.9,"$15,770 "
2017,28021,42.6,"$28,518 "
2016,28021,38.2,"$29,266 "
2015,28021,46.3,"$26,959 "
2014,28021,42.6,"$26,083 "
2013,28021,40.9,"$25,438 "
2012,28021,37.7,"$26,152 "
2011,28021,38.6,"$22,802 "
