FIPS,Year,CancerDeaths,Population
1103,1994,105,101023
1103,1995,120,101842
1103,1996,132,102425
1103,1997,127,103432
1103,1998,131,104373
1105,1988,24,12520
1105,1989,15,12056
1105,1990,14,11751
1105,1991,22,11351
1105,1992,12,11256
1105,1993,12,11319
1105,1994,19,11409
1105,1995,15,11549
1105,1996,22,11338
1105,1997,21,11286
1105,1998,12,11359
1107,1988,24,19490
1107,1989,18,19352
1107,1990,35,19156
1107,1991,25,19179
1107,1992,25,19359
1107,1993,30,19439
1107,1994,29,19357
1107,1995,36,19394
1107,1996,26,19484
1107,1997,25,19399
1107,1998,35,19498
1109,1988,33,25970
1109,1989,33,25850
1109,1990,43,25759
1109,1991,29,26267
1109,1992,38,26519
1109,1993,37,26868
1109,1994,40,27391
1109,1995,46,27300
1109,1996,43,27170
1109,1997,42,27440
1109,1998,32,27774
1111,1988,29,18424
1111,1989,29,18454
1111,1990,33,18446
1111,1991,26,18811
1111,1992,24,19184
1111,1993,31,19419
1111,1994,31,19560
1111,1995,31,19668
1111,1996,41,19903
1111,1997,22,19829
1111,1998,29,20000
1113,1988,64,45095
1113,1989,81,44356
1113,1990,65,44446
1113,1991,70,45180
1113,1992,67,46466
1113,1993,72,47388
1113,1994,80,48878
1113,1995,90,48690
1113,1996,86,48827
1113,1997,76,47923
1113,1998,86,47530
1115,1988,69,45953
1115,1989,58,47019
1115,1990,68,47780
1115,1991,65,49021
1115,1992,85,50325
1115,1993,101,51921
1115,1994,76,53303
1115,1995,92,54948
1115,1996,95,56366
1115,1997,74,57522
1115,1998,90,58817
1117,1988,89,89905
1117,1989,92,93722
1117,1990,106,96584
1117,1991,88,99778
1117,1992,79,103154
1117,1993,63,108569
1117,1994,109,114076
1117,1995,107,118700
1117,1996,87,122655
1117,1997,124,127395
1117,1998,124,131470
1119,1988,14,15461
1119,1989,13,15181
1119,1990,17,15056
1119,1991,24,15041
1119,1992,23,14898
1119,1993,16,14801
1119,1994,15,14931
1119,1995,17,14829
1119,1996,25,14701
1119,1997,15,14414
1119,1998,21,14197
1121,1988,101,70706
1121,1989,98,70526
1121,1990,96,70258
1121,1991,115,70884
1121,1992,117,71487
1121,1993,113,72127
1121,1994,104,72607
1121,1995,116,73114
1121,1996,122,73666
1121,1997,105,74064
1121,1998,96,74645
1123,1988,59,36247
1123,1989,58,36205
1123,1990,64,36173
1123,1991,55,36655
1123,1992,72,36846
1123,1993,74,37142
1123,1994,84,37434
1123,1995,60,37387
1123,1996,41,38042
1123,1997,43,38256
1123,1998,53,38428
1125,1988,184,140922
1125,1989,191,142217
1125,1990,175,143571
1125,1991,214,146317
1125,1992,210,146600
1125,1993,192,148131
1125,1994,216,149658
1125,1995,170,152682
1125,1996,181,152718
1125,1997,181,154217
1125,1998,195,155431
1127,1988,98,64120
1127,1989,108,63800
1127,1990,95,63578
1127,1991,108,63796
1127,1992,96,63997
1127,1993,126,64273
1127,1994,134,64507
1127,1995,114,65031
1127,1996,117,65604
1127,1997,96,65939
1127,1998,115,66137
1129,1988,22,16121
1129,1989,28,15886
1129,1990,23,15868
1129,1991,19,16024
1129,1992,29,16073
1129,1993,26,16323
1129,1994,18,16385
1129,1995,26,16556
1129,1996,24,16718
1129,1997,26,16889
1129,1998,22,16950
1131,1988,24,13088
1131,1989,14,12855
1131,1990,18,12589
1131,1991,19,12774
1131,1992,14,12660
1131,1993,24,12667
1131,1994,11,12664
1131,1995,21,12640
1131,1996,17,12606
1131,1997,18,12423
1131,1998,31,12439
1133,1988,32,20502
1133,1989,28,20617
1133,1990,32,20743
1133,1991,31,20729
1133,1992,34,20952
1133,1993,46,21351
1133,1994,44,21787
1133,1995,36,22061
