FIPS,Year,DiabDeaths,Population
5029,1981,5,18191
5029,1982,2,18040
5029,1983,2,18184
5029,1984,2,18380
5029,1986,1,18049
5029,1987,6,18011
5029,1988,3,17925
5031,1979,3,60876
5031,1980,5,60692
5031,1981,4,60723
5031,1982,2,60222
5031,1983,5,60141
5031,1984,2,60661
5031,1985,5,60996
5031,1986,6,61145
5031,1987,2,62309
5031,1988,5,63375
5033,1979,1,34762
5033,1980,1,35154
5033,1981,5,35243
5033,1982,2,35280
5033,1983,1,35790
5033,1984,4,36483
5033,1985,6,37110
5033,1986,4,37885
5033,1987,4,38455
5033,1988,5,39211
5033,1993,10,43580
5035,1979,1,47312
5035,1980,5,47662
5035,1981,5,47525
5035,1982,3,47462
5035,1983,3,47416
5035,1984,1,47221
5035,1985,6,47364
5035,1986,2,47325
5035,1987,3,47431
5035,1988,5,47925
5035,1997,12,47641
5035,1998,19,47952
5037,1979,1,19865
5037,1980,4,19364
5037,1981,2,19471
5037,1982,3,19375
5037,1983,1,19150
5037,1984,2,19086
5037,1986,2,18666
5037,1987,2,18490
5037,1988,3,18313
5039,1980,1,9785
5039,1982,2,9711
5039,1985,1,9413
5039,1986,1,9308
5041,1979,4,18750
5041,1980,4,18691
5041,1981,5,18409
5041,1982,2,18219
5041,1983,1,17869
5041,1984,1,17616
5041,1988,2,16149
5043,1979,1,17277
5043,1980,2,17021
5043,1981,1,17009
5043,1983,2,16882
5043,1984,3,16788
5043,1985,2,16931
5043,1986,3,16599
5043,1987,2,16497
5043,1988,4,16394
5045,1979,5,43385
5045,1980,2,44339
5045,1981,3,44930
5045,1982,3,45415
5045,1983,3,46382
5045,1984,2,47810
5045,1986,7,50717
5045,1987,5,52482
5045,1988,2,54010
5047,1979,1,13706
5047,1981,1,13647
5047,1982,2,13797
5047,1985,2,13958
5047,1986,3,13925
5047,1987,1,13984
5047,1988,2,13885
5049,1979,1,9130
5049,1982,1,9100
5049,1988,3,9139
5051,1979,7,64841
5051,1980,8,65212
5051,1981,6,64995
5051,1982,4,64926
5051,1983,7,65746
5051,1984,2,66244
5051,1985,6,66191
5051,1986,2,66320
5051,1987,7,66927
5051,1988,11,66485
5051,1989,12,66674
5051,1990,12,66766
5051,1992,12,69310
5051,1995,16,74060
5051,1996,16,75425
