FIPS,Year,LwrRspDeaths,Population
4023,1982,2,21005
4023,1983,2,21091
4023,1984,4,22046
4023,1985,1,22744
4023,1986,2,23212
4023,1987,1,24749
4023,1988,5,26029
4025,1979,27,61916
4025,1980,27,63977
4025,1981,23,66321
4025,1982,39,69034
4025,1983,44,71329
4025,1984,37,73760
4025,1985,26,76432
4025,1986,27,82189
4025,1987,47,86456
4025,1988,42,91555
4025,1989,54,95060
4025,1990,38,98555
4025,1991,42,102891
4025,1992,37,107561
4025,1993,48,113544
4025,1994,43,119737
4025,1995,42,126985
4025,1996,39,132623
4025,1997,40,137389
4025,1998,42,142464
4027,1979,19,81052
4027,1980,17,87828
4027,1981,23,88827
4027,1982,21,90520
4027,1983,19,93245
4027,1984,31,95130
4027,1985,35,97178
4027,1986,28,99576
4027,1987,35,101574
4027,1988,28,105520
4027,1989,33,111867
4027,1990,24,114942
4027,1991,36,119940
4027,1992,24,126659
4027,1993,49,132646
4027,1994,22,121460
4027,1995,26,124852
4027,1996,24,129595
4027,1997,34,135361
4027,1998,33,139798
5001,1979,1,22752
5001,1980,5,22767
5001,1981,3,22724
5001,1982,4,22565
5001,1983,4,22252
5001,1984,4,21810
5001,1985,2,21395
5001,1986,5,20967
5001,1987,7,20534
5001,1988,2,20180
5003,1979,3,25479
5003,1980,8,25179
5003,1981,1,25418
5003,1982,11,24823
5003,1983,3,24468
5003,1984,4,24523
5003,1985,6,24534
5003,1986,3,23800
5003,1987,7,23614
5003,1988,1,23370
5005,1979,7,25003
5005,1980,6,25133
5005,1981,7,25235
5005,1982,12,25361
5005,1983,10,25882
5005,1984,5,26416
5005,1985,8,26376
5005,1986,7,26714
5005,1987,4,27068
5005,1988,9,27175
5005,1990,11,27252
5005,1993,10,29643
5005,1994,19,30776
5005,1997,12,32672
5005,1998,10,32878
5007,1979,14,72543
5007,1980,10,73995
5007,1981,14,74786
5007,1982,12,75468
5007,1983,16,76938
5007,1984,21,78827
5007,1985,18,80445
5007,1986,22,81983
5007,1987,19,84897
5007,1988,15,86812
5007,1989,18,88419
5007,1990,22,90761
5007,1991,16,95341
5007,1992,16,99976
5007,1993,23,105785
5007,1994,22,111225
5007,1995,22,117675
5007,1996,20,123678
5007,1997,16,128680
5007,1998,40,133189
5009,1979,3,23682
5009,1980,3,24283
5009,1981,5,24400
5009,1982,3,24565
5009,1983,5,24968
5009,1984,5,25338
5009,1985,4,25464
5009,1986,9,25587
5009,1987,4,25736
5009,1988,1,25956
5011,1979,4,13020
5011,1980,1,12769
5011,1981,2,12495
5011,1982,2,12304
5011,1984,2,11986
5011,1985,4,11796
5011,1986,4,11524
5011,1987,2,11217
5011,1988,2,11037
5013,1981,2,5605
5013,1982,2,5642
5013,1983,2,5615
5013,1985,2,5620
5013,1987,2,5568
5013,1988,2,5503
5015,1979,4,14483
5015,1980,5,15009
5015,1981,3,15091
5015,1982,2,15140
5015,1983,6,15682
5015,1984,2,15919
5015,1985,2,16196
5015,1986,6,16499
5015,1987,6,16709
5015,1988,4,16892
5017,1979,1,16929
5017,1980,2,16682
5017,1981,4,16688
5017,1982,2,16807
5017,1983,4,16662
5017,1984,3,16410
5017,1985,1,15977
5017,1986,3,15674
5017,1987,3,15337
5017,1988,1,15075
5019,1979,3,22287
5019,1980,6,21996
5019,1981,1,21836
5019,1982,2,21527
5019,1983,3,21622
5019,1984,6,21420
5019,1985,5,21274
5019,1986,5,21045
