FIPS,Year,SuicDeaths,Population
2900,1979,46,401589
2900,1980,67,400359
2900,1981,60,416677
2900,1982,54,447908
2900,1983,56,486090
2900,1984,60,510540
2900,1985,72,528595
2900,1986,79,538930
2900,1987,92,533273
2900,1988,55,535625
4001,1979,11,51408
4001,1980,5,51331
4001,1981,7,50434
4001,1982,8,51507
4001,1983,7,52307
4001,1984,5,52190
4001,1985,8,52643
4001,1986,12,54727
4001,1987,10,57139
4001,1988,13,58427
4001,1990,10,59968
4001,1991,16,60996
4001,1993,10,62848
4001,1996,14,67564
4001,1997,17,68601
4001,1998,10,67859
4003,1979,18,83499
4003,1980,16,82804
4003,1981,9,85031
4003,1982,13,85168
4003,1983,14,85527
4003,1984,13,87420
4003,1985,9,87537
4003,1986,11,90175
4003,1987,16,92631
4003,1988,13,92223
4003,1989,14,93341
4003,1990,15,93280
4003,1991,19,94215
4003,1992,14,96497
4003,1993,13,99158
4003,1994,25,103831
4003,1995,20,106728
4003,1996,15,106769
4003,1997,14,108407
4003,1998,11,109270
4005,1979,13,72473
4005,1980,7,74205
4005,1981,7,76808
4005,1982,10,78115
4005,1983,11,80049
4005,1984,8,82364
4005,1985,13,83243
4005,1986,13,86153
4005,1987,19,89027
4005,1988,9,91824
4005,1989,19,93619
4005,1990,10,94702
4005,1991,15,97569
4005,1992,17,100294
4005,1993,21,103247
4005,1994,18,106214
4005,1995,27,108450
4005,1996,25,110188
4005,1997,21,111843
4005,1998,19,112092
4007,1979,4,35264
4007,1980,5,35783
4007,1981,6,36527
4007,1982,5,37338
4007,1983,3,36846
4007,1984,5,35671
4007,1985,8,35288
4007,1986,5,35959
4007,1987,11,36222
4007,1988,4,36634
4007,1990,11,37481
4007,1993,10,40763
4007,1995,15,43523
4007,1996,12,44679
4007,1997,10,45707
4009,1979,1,20516
4009,1980,2,22087
4009,1981,3,22318
4009,1982,1,22873
4009,1983,6,22944
4009,1984,5,23429
4009,1985,1,23422
4009,1986,2,23227
4009,1987,4,23990
4009,1988,4,24310
4011,1979,3,11982
4011,1980,1,11205
4011,1981,1,11281
4011,1982,2,11469
4011,1983,1,10397
4011,1984,1,9917
4011,1985,1,8774
4011,1987,4,7980
4011,1988,3,7796
4013,1979,217,1402104
4013,1980,240,1452360
4013,1981,236,1504200
4013,1982,260,1546013
4013,1983,234,1592924
4013,1984,254,1660976
4013,1985,274,1748831
4013,1986,323,1820905
4013,1987,337,1901229
4013,1988,324,1953998
4013,1989,322,2001906
4013,1990,352,2017192
4013,1991,310,2081996
4013,1992,298,2149218
4013,1993,364,2229707
4013,1994,360,2339072
4013,1995,386,2454348
4013,1996,352,2553488
4013,1997,371,2649432
4013,1998,374,2748207
4015,1979,10,49945
4015,1980,19,53957
4015,1981,13,56238
4015,1982,14,59729
4015,1983,13,60913
4015,1984,14,63922
4015,1985,21,66929
4015,1986,21,71184
