FIPS,Year,SubUseDisDeaths,Population
6025,2005,30,148853
6025,2006,30,152964
6025,2007,38,156769
6025,2008,30,159842
6029,1999,160,628172
6029,2000,158,633878
6029,2001,172,648139
6029,2002,184,665063
6029,2003,205,684995
6029,2004,210,706873
6029,2005,196,730797
6029,2006,245,754243
6029,2007,219,772607
6029,2008,238,787315
6031,1999,23,122204
6031,2000,14,125173
6031,2001,14,128422
6031,2002,23,130843
6031,2003,22,134709
6031,2004,27,138798
6031,2005,19,140273
6031,2006,18,142822
6031,2007,26,145439
6031,2008,24,146896
6033,1999,25,51994
6033,2000,24,53052
6033,2001,14,54952
6033,2002,29,56275
6033,2003,32,57326
6033,2004,27,58088
6033,2005,35,58824
6033,2006,37,59318
6033,2007,35,59197
6033,2008,37,59501
6035,2004,11,32991
6035,2005,11,33012
6035,2006,16,33107
6035,2007,17,34098
6035,2008,17,33720
6037,1999,1634,9011876
6037,2000,1503,9085498
6037,2001,1393,9180451
6037,2002,1697,9251245
6037,2003,1763,9303507
6037,2004,1696,9324725
6037,2005,1743,9309551
6037,2006,1778,9260881
6037,2007,1766,9218652
6037,2008,1698,9249072
6039,1999,20,116019
6039,2000,25,117184
6039,2001,22,119407
6039,2002,32,122076
6039,2003,32,126298
6039,2004,35,130384
6039,2005,29,133439
6039,2006,31,136631
6039,2007,32,138904
6039,2008,29,141141
6041,1999,41,230023
6041,2000,36,230648
6041,2001,20,230848
6041,2002,42,228974
6041,2003,58,227497
6041,2004,44,225986
6041,2005,43,225995
6041,2006,41,226239
6041,2007,57,227765
6041,2008,60,229742
6045,1999,29,79998
6045,2000,16,80530
6045,2001,16,81036
6045,2002,28,81433
6045,2003,33,82180
6045,2004,26,82093
6045,2005,31,81967
6045,2006,42,81365
6045,2007,40,81084
6045,2008,37,81402
6047,1999,43,198097
6047,2000,25,201669
6047,2001,23,209903
6047,2002,38,216335
6047,2003,41,222429
6047,2004,43,227834
6047,2005,40,232859
6047,2006,38,235665
6047,2007,43,238574
6047,2008,49,240392
6053,1999,66,377662
6053,2000,54,382836
6053,2001,55,387756
6053,2002,65,389299
6053,2003,76,389541
6053,2004,85,388290
6053,2005,72,384313
6053,2006,85,381039
6053,2007,56,381390
6053,2008,84,384914
6055,1999,23,112746
6055,2000,14,113888
6055,2001,13,116401
6055,2002,29,118359
6055,2003,26,119844
6055,2004,32,120143
6055,2005,19,120216
6055,2006,17,121271
6055,2007,26,122402
6055,2008,35,123861
6057,1999,17,83318
6057,2000,13,84338
6057,2001,20,85797
6057,2002,36,86511
6057,2003,23,87423
6057,2004,25,88267
6057,2005,29,88858
6057,2006,18,89069
6057,2007,31,89231
6057,2008,27,89663
6059,1999,397,2687270
6059,2000,274,2714228
6059,2001,185,2748214
6059,2002,415,2767565
6059,2003,431,2785287
6059,2004,429,2795197
6059,2005,460,2789735
6059,2006,510,2779819
6059,2007,562,2776695
6059,2008,573,2800367
6061,1999,28,226316
6061,2000,37,233152
6061,2001,29,247162
6061,2002,36,259667
6061,2003,65,272518
6061,2004,51,283887
6061,2005,73,292904
6061,2006,61,300758
6061,2007,77,307019
6061,2008,72,314557
6063,2005,10,19385
6065,1999,324,1417140
6065,2000,263,1452577
6065,2001,249,1520408
6065,2002,304,1588308
6065,2003,376,1670136
6065,2004,398,1752955
6065,2005,447,1825676
6065,2006,419,1903803
6065,2007,432,1964181
6065,2008,449,1996552
6067,1999,233,1143553
6067,2000,176,1158716
6067,2001,122,1199340
6067,2002,311,1233252
6067,2003,317,1259426
6067,2004,342,1278995
6067,2005,427,1289436
6067,2006,388,1297552
6067,2007,378,1308471
6067,2008,417,1320687
6069,2003,11,53097
6071,1999,345,1617498
6071,2000,364,1644219
6071,2001,278,1693288
6071,2002,374,1731760
6071,2003,410,1776954
6071,2004,400,1829120
6071,2005,450,1872432
6071,2006,438,1901874
6071,2007,423,1919065
6071,2008,484,1929378
6073,1999,487,2639163
6073,2000,443,2660142
6073,2001,296,2712796
6073,2002,591,2741384
6073,2003,585,2753134
6073,2004,611,2769193
6073,2005,617,2775237
6073,2006,620,2783646
6073,2007,707,2810393
6073,2008,722,2854220
6075,1999,261,723263
6075,2000,250,724577
6075,2001,284,728173
6075,2002,256,719440
6075,2003,268,712331
6075,2004,250,707060
6075,2005,299,707990
6075,2006,293,713719
6075,2007,311,723708
6075,2008,283,736105
6077,1999,109,523761
6077,2000,88,534472
6077,2001,87,561207
6077,2002,133,578406
6077,2003,150,595858
6077,2004,127,611925
6077,2005,138,625549
6077,2006,144,631281
6077,2007,164,636312
6077,2008,163,639791
6079,1999,45,226194
6079,2000,46,229090
6079,2001,34,233436
6079,2002,56,234781
6079,2003,45,236133
6079,2004,57,238081
6079,2005,50,239657
6079,2006,72,241329
6079,2007,64,243419
6079,2008,64,246835
6081,1999,91,662108
6081,2000,68,663818
6081,2001,60,661528
6081,2002,90,653212
6081,2003,108,648120
6081,2004,113,644779
6081,2005,107,644296
6081,2006,91,644498
6081,2007,123,648062
6081,2008,133,657920
6083,1999,79,371841
6083,2000,72,373920
6083,2001,70,377202
6083,2002,79,379016
6083,2003,90,380318
6083,2004,89,380665
6083,2005,89,381307
6083,2006,94,381205
6083,2007,89,384002
6083,2008,95,388343
6085,1999,186,1600023
6085,2000,178,1609251
6085,2001,150,1612647
6085,2002,197,1592454
6085,2003,214,1585282
6085,2004,242,1583526
6085,2005,250,1593488
6085,2006,264,1607414
6085,2007,302,1626710
6085,2008,278,1653986
6087,1999,49,240640
6087,2000,50,242462
6087,2001,42,243107
6087,2002,62,241551
6087,2003,52,240134
6087,2004,52,239391
6087,2005,63,238352
6087,2006,72,238569
6087,2007,69,240121
6087,2008,70,243212
6089,1999,58,150306
6089,2000,44,151324
6089,2001,32,154210
6089,2002,55,157619
6089,2003,78,160454
6089,2004,81,161970
6089,2005,77,162526
6089,2006,77,163073
6089,2007,84,163439
6089,2008,93,164072
6093,2002,14,40077
6093,2003,13,40419
6093,2004,15,40492
6093,2006,15,40575
6093,2007,18,40569
6093,2008,24,40888
6095,1999,54,371104
6095,2000,48,377362
6095,2001,39,386461
6095,2002,61,389932
6095,2003,80,389734
6095,2004,82,390487
6095,2005,78,388981
6095,2006,63,388853
6095,2007,83,388380
6095,2008,79,388747
6097,1999,78,423270
6097,2000,74,428031
6097,2001,43,434046
6097,2002,101,434110
6097,2003,108,435191
6097,2004,102,435541
6097,2005,105,434436
6097,2006,118,433826
6097,2007,112,435915
6097,2008,121,441485
6099,1999,93,416740
6099,2000,102,424705
6099,2001,103,440784
6099,2002,128,454266
6099,2003,140,463931
6099,2004,134,468990
6099,2005,119,475926
6099,2006,137,480429
6099,2007,134,483472
6099,2008,118,484425
6101,2000,12,74542
6101,2002,14,77578
6101,2003,11,79991
6101,2004,12,81762
6101,2005,18,83962
6101,2006,14,86185
6101,2007,18,87921
6101,2008,27,88596
6103,1999,14,51376
6103,2001,11,52432
6103,2002,12,53097
6103,2003,11,54163
6103,2004,10,55218
6103,2005,16,56248
6103,2006,16,57219
6103,2007,19,57837
6103,2008,16,58371
6107,1999,59,348071
6107,2000,50,351100
6107,2001,39,356037
6107,2002,59,362362
6107,2003,63,371347
6107,2004,75,380667
6107,2005,65,390151
6107,2006,87,396981
6107,2007,58,404036
6107,2008,65,410918
6109,2002,16,51133
6109,2003,18,51696
6109,2004,21,51758
6109,2005,13,51902
6109,2006,28,51775
6109,2007,19,51380
6109,2008,17,51292
6111,1999,117,707664
6111,2000,113,716637
6111,2001,89,729004
6111,2002,118,740568
6111,2003,147,748527
6111,2004,121,754041
6111,2005,156,753133
6111,2006,169,756300
6111,2007,149,757681
6111,2008,173,762980
6113,1999,29,157721
6113,2000,29,160934
6113,2001,23,167313
6113,2002,29,172220
6113,2003,24,174686
6113,2004,20,176934
6113,2005,35,177700
6113,2006,28,180877
6113,2007,35,185450
6113,2008,28,188150
6115,1999,22,57128
6115,2000,11,57416
6115,2004,14,60902
8001,1999,59,343123
8001,2000,70,352519
8001,2001,80,364141
8001,2002,97,374932
8001,2003,92,365289
8001,2004,85,372225
8001,2005,103,382188
8001,2006,97,393010
8001,2007,106,401657
8001,2008,112,410310
8005,1999,68,463540
8005,2000,73,468725
8005,2001,100,482415
8005,2002,94,488439
8005,2003,82,492817
8005,2004,116,497603
8005,2005,100,502549
8005,2006,114,508782
8005,2007,150,518312
8005,2008,158,528070
8013,1999,42,275558
8013,2000,36,280769
8013,2001,51,289939
8013,2002,46,291870
8013,2003,48,268023
8013,2004,56,268805
8013,2005,62,268993
8013,2006,64,272473
8013,2007,70,275357
8013,2008,79,278514
8014,2004,11,43328
8014,2007,11,49513
8029,2003,10,26286
8029,2007,11,27380
8031,1999,215,517146
8031,2000,196,522853
8031,2001,209,530190
8031,2002,221,525156
8031,2003,219,520912
8031,2004,208,519146
8031,2005,255,520071
8031,2006,272,525554
8031,2007,262,533428
8031,2008,322,545088
8035,2000,10,173250
8035,2001,15,193719
8035,2003,13,216552
8035,2004,13,228427
8035,2005,18,238693
8035,2006,29,251118
8035,2007,23,261681
8035,2008,25,269468
8037,2008,14,50371
8041,1999,117,490109
8041,2000,102,497447
8041,2001,128,515711
8041,2002,135,523500
8041,2003,134,526420
8041,2004,131,534919
8041,2005,154,543325
8041,2006,129,556705
8041,2007,154,562529
8041,2008,167,572592
8043,2000,10,42990
8043,2001,14,43427
8043,2002,11,43790
8043,2003,14,43683
8043,2004,17,43293
8043,2005,17,43235
8043,2006,22,43387
8043,2007,15,43460
8043,2008,18,43604
8045,2003,14,45838
8045,2004,11,46348
8045,2005,14,47690
8045,2006,19,49657
8045,2008,12,53544
8059,1999,81,501326
8059,2000,93,504582
8059,2001,92,506914
8059,2002,93,505471
8059,2003,114,500334
8059,2004,104,495421
8059,2005,87,493575
8059,2006,104,494362
8059,2007,176,496965
8059,2008,140,500449
8067,2001,11,43152
8067,2005,11,45427
8067,2006,16,46371
8067,2007,16,47121
8069,1999,32,235865
8069,2000,35,240267
8069,2001,34,248945
8069,2002,29,253480
8069,2003,41,256142
8069,2004,56,258816
8069,2005,41,261922
8069,2006,54,266680
8069,2007,53,271647
8069,2008,66,276688
8077,1999,19,106557
8077,2000,22,107797
8077,2001,23,110607
8077,2002,23,113288
8077,2003,42,115582
8077,2004,34,118060
8077,2005,28,120365
8077,2006,33,124586
8077,2007,41,129271
8077,2008,40,132941
8083,2008,10,23341
8085,2007,11,36642
8101,1999,29,130150
8101,2000,41,131322
8101,2001,34,133651
8101,2002,31,136082
8101,2003,29,137241
8101,2004,34,137905
8101,2005,41,138871
8101,2006,47,140815
8101,2007,44,143632
8101,2008,41,145185
8119,2005,10,21373
8119,2008,13,21975
8123,1999,26,166979
8123,2000,17,173463
8123,2001,28,184525
8123,2002,29,194298
8123,2003,40,200750
8123,2004,24,206968
8123,2005,28,214300
8123,2006,32,221761
8123,2007,44,228414
8123,2008,41,234060
9001,1999,102,820308
9001,2000,112,825113
9001,2001,97,830449
9001,2002,128,833313
9001,2003,104,836042
9001,2004,91,836859
9001,2005,98,836395
9001,2006,152,835019
9001,2007,106,836101
9001,2008,133,842175
9003,1999,131,789064
9003,2000,149,792531
9003,2001,135,797253
9003,2002,152,801474
9003,2003,138,806399
9003,2004,127,807367
9003,2005,145,810624
9003,2006,170,813994
9003,2007,190,817521
9003,2008,141,821015
9005,1999,28,168170
9005,2000,23,168929
