FIPS,Year,InfectDeaths,Population
6005,2007,11,35435
6007,1999,25,184695
6007,2000,22,186322
6007,2001,29,189145
6007,2002,31,192033
6007,2003,44,194349
6007,2004,40,195942
6007,2005,41,197515
6007,2006,44,199802
6007,2007,38,200567
6007,2008,40,202295
6009,2002,12,39144
6009,2008,14,42639
6013,1999,125,885683
6013,2000,134,896266
6013,2001,127,916891
6013,2002,146,924877
6013,2003,149,931672
6013,2004,167,936097
6013,2005,130,941812
6013,2006,116,943355
6013,2007,117,951166
6013,2008,95,964758
6015,1999,10,26055
6015,2008,11,26782
6017,1999,19,146179
6017,2000,24,147917
6017,2001,21,152072
6017,2002,23,155755
6017,2003,19,158551
6017,2004,28,161564
6017,2005,18,164920
6017,2006,28,166646
6017,2007,18,167371
6017,2008,22,168589
6019,1999,106,751998
6019,2000,139,761369
6019,2001,154,773734
6019,2002,135,789764
6019,2003,176,806375
6019,2004,148,819841
6019,2005,159,830335
6019,2006,185,841466
6019,2007,176,853099
6019,2008,180,866497
6023,1999,23,119009
6023,2000,15,118762
6023,2001,30,119659
6023,2002,24,120875
6023,2003,21,121756
6023,2004,32,122679
6023,2005,27,123392
6023,2006,23,123938
6023,2007,13,123884
6023,2008,31,124506
6025,1999,24,135326
6025,2000,19,136457
6025,2001,24,137534
6025,2002,21,139269
6025,2003,23,142350
6025,2004,33,145419
6025,2005,22,148853
6025,2006,33,152964
6025,2007,30,156769
6025,2008,23,159842
6029,1999,70,628172
6029,2000,108,633878
6029,2001,115,648139
6029,2002,148,665063
6029,2003,164,684995
6029,2004,140,706873
6029,2005,138,730797
6029,2006,159,754243
6029,2007,149,772607
6029,2008,151,787315
6031,1999,14,122204
6031,2000,24,125173
6031,2001,23,128422
6031,2002,17,130843
6031,2003,29,134709
6031,2004,26,138798
6031,2005,21,140273
6031,2006,23,142822
6031,2007,36,145439
6031,2008,23,146896
6033,1999,13,51994
6033,2000,17,53052
6033,2001,13,54952
6033,2002,21,56275
6033,2003,22,57326
6033,2004,18,58088
6033,2005,15,58824
6033,2006,13,59318
6033,2007,30,59197
6033,2008,12,59501
6037,1999,1354,9011876
6037,2000,1391,9085498
6037,2001,1417,9180451
6037,2002,1455,9251245
6037,2003,1466,9303507
6037,2004,1465,9324725
6037,2005,1415,9309551
6037,2006,1388,9260881
6037,2007,1332,9218652
6037,2008,1305,9249072
6039,1999,17,116019
6039,2000,28,117184
6039,2001,23,119407
6039,2002,18,122076
6039,2003,14,126298
6039,2004,31,130384
6039,2005,21,133439
6039,2006,22,136631
6039,2007,24,138904
6039,2008,24,141141
6041,1999,19,230023
6041,2000,34,230648
6041,2001,22,230848
6041,2002,33,228974
6041,2003,23,227497
6041,2004,38,225986
6041,2005,28,225995
6041,2006,29,226239
6041,2007,20,227765
6041,2008,27,229742
6045,1999,10,79998
6045,2000,17,80530
6045,2001,11,81036
6045,2002,15,81433
6045,2003,14,82180
6045,2004,15,82093
6045,2005,14,81967
6045,2006,14,81365
6045,2007,19,81084
6045,2008,15,81402
6047,1999,26,198097
6047,2000,25,201669
6047,2001,21,209903
6047,2002,41,216335
6047,2003,41,222429
6047,2004,29,227834
6047,2005,41,232859
6047,2006,26,235665
6047,2007,34,238574
6047,2008,42,240392
6053,1999,46,377662
6053,2000,55,382836
6053,2001,45,387756
6053,2002,49,389299
6053,2003,40,389541
6053,2004,42,388290
6053,2005,47,384313
6053,2006,36,381039
6053,2007,46,381390
6053,2008,34,384914
6055,1999,20,112746
6055,2000,17,113888
6055,2001,17,116401
6055,2002,25,118359
6055,2003,16,119844
6055,2004,15,120143
6055,2005,14,120216
6055,2006,20,121271
6055,2007,14,122402
6055,2008,21,123861
6057,2000,16,84338
6057,2001,17,85797
6057,2002,11,86511
6057,2003,10,87423
6057,2004,13,88267
6057,2005,15,88858
6057,2006,10,89069
6059,1999,239,2687270
6059,2000,242,2714228
6059,2001,243,2748214
6059,2002,256,2767565
6059,2003,268,2785287
6059,2004,292,2795197
6059,2005,307,2789735
6059,2006,275,2779819
6059,2007,235,2776695
6059,2008,268,2800367
6061,1999,25,226316
6061,2000,22,233152
6061,2001,28,247162
6061,2002,26,259667
6061,2003,23,272518
6061,2004,27,283887
6061,2005,37,292904
6061,2006,30,300758
6061,2007,35,307019
6061,2008,27,314557
6065,1999,193,1417140
6065,2000,243,1452577
6065,2001,240,1520408
6065,2002,250,1588308
6065,2003,247,1670136
6065,2004,275,1752955
6065,2005,298,1825676
6065,2006,267,1903803
6065,2007,289,1964181
6065,2008,271,1996552
6067,1999,218,1143553
6067,2000,222,1158716
6067,2001,214,1199340
6067,2002,240,1233252
6067,2003,260,1259426
6067,2004,254,1278995
6067,2005,254,1289436
6067,2006,265,1297552
6067,2007,238,1308471
6067,2008,222,1320687
6071,1999,205,1617498
6071,2000,213,1644219
6071,2001,274,1693288
6071,2002,256,1731760
6071,2003,288,1776954
6071,2004,290,1829120
6071,2005,328,1872432
6071,2006,310,1901874
6071,2007,338,1919065
6071,2008,306,1929378
6073,1999,392,2639163
6073,2000,432,2660142
6073,2001,428,2712796
6073,2002,421,2741384
6073,2003,429,2753134
6073,2004,404,2769193
6073,2005,381,2775237
6073,2006,355,2783646
6073,2007,321,2810393
6073,2008,333,2854220
6075,1999,279,723263
6075,2000,309,724577
6075,2001,319,728173
6075,2002,292,719440
6075,2003,274,712331
6075,2004,288,707060
6075,2005,251,707990
6075,2006,225,713719
6075,2007,198,723708
6075,2008,195,736105
6077,1999,67,523761
6077,2000,100,534472
6077,2001,97,561207
6077,2002,73,578406
6077,2003,112,595858
6077,2004,105,611925
6077,2005,102,625549
6077,2006,100,631281
6077,2007,106,636312
6077,2008,127,639791
6079,1999,31,226194
6079,2000,32,229090
6079,2001,33,233436
6079,2002,34,234781
6079,2003,27,236133
6079,2004,37,238081
6079,2005,31,239657
6079,2006,35,241329
6079,2007,44,243419
6079,2008,28,246835
6081,1999,75,662108
6081,2000,83,663818
6081,2001,94,661528
6081,2002,81,653212
6081,2003,84,648120
6081,2004,64,644779
6081,2005,88,644296
6081,2006,76,644498
6081,2007,82,648062
6081,2008,80,657920
6083,1999,46,371841
6083,2000,43,373920
6083,2001,46,377202
6083,2002,49,379016
6083,2003,46,380318
6083,2004,41,380665
6083,2005,51,381307
6083,2006,51,381205
6083,2007,51,384002
6083,2008,38,388343
6085,1999,164,1600023
6085,2000,207,1609251
6085,2001,195,1612647
6085,2002,209,1592454
6085,2003,192,1585282
6085,2004,184,1583526
6085,2005,197,1593488
6085,2006,178,1607414
6085,2007,160,1626710
6085,2008,194,1653986
6087,1999,33,240640
6087,2000,35,242462
6087,2001,24,243107
6087,2002,40,241551
6087,2003,29,240134
6087,2004,31,239391
6087,2005,33,238352
6087,2006,38,238569
6087,2007,30,240121
6087,2008,30,243212
6089,1999,16,150306
6089,2000,27,151324
6089,2001,22,154210
6089,2002,30,157619
6089,2003,32,160454
6089,2004,40,161970
6089,2005,41,162526
6089,2006,37,163073
6089,2007,40,163439
6089,2008,43,164072
6093,2002,13,40077
6093,2003,11,40419
6093,2005,16,40735
6093,2006,10,40575
6093,2007,11,40569
6093,2008,10,40888
6095,1999,61,371104
6095,2000,76,377362
6095,2001,57,386461
6095,2002,78,389932
6095,2003,75,389734
6095,2004,62,390487
6095,2005,82,388981
6095,2006,90,388853
6095,2007,67,388380
6095,2008,79,388747
6097,1999,51,423270
6097,2000,68,428031
6097,2001,58,434046
6097,2002,65,434110
6097,2003,65,435191
6097,2004,60,435541
6097,2005,67,434436
6097,2006,63,433826
6097,2007,69,435915
6097,2008,63,441485
6099,1999,62,416740
6099,2000,64,424705
6099,2001,60,440784
6099,2002,96,454266
6099,2003,83,463931
6099,2004,96,468990
6099,2005,91,475926
6099,2006,96,480429
6099,2007,77,483472
6099,2008,81,484425
6101,1999,12,73951
6101,2000,12,74542
6101,2001,16,75681
6101,2002,14,77578
6101,2003,18,79991
6101,2004,18,81762
6101,2005,11,83962
6101,2006,20,86185
6101,2007,20,87921
6101,2008,16,88596
6103,2000,14,51845
6103,2001,12,52432
6103,2002,10,53097
6103,2003,12,54163
6103,2005,10,56248
6107,1999,51,348071
6107,2000,66,351100
6107,2001,80,356037
6107,2002,71,362362
6107,2003,76,371347
6107,2004,81,380667
6107,2005,88,390151
6107,2006,83,396981
6107,2007,76,404036
6107,2008,103,410918
6109,2000,12,49975
6109,2001,10,50669
6109,2002,11,51133
6109,2004,16,51758
6109,2006,15,51775
6111,1999,62,707664
6111,2000,103,716637
6111,2001,91,729004
6111,2002,100,740568
6111,2003,93,748527
6111,2004,102,754041
6111,2005,110,753133
6111,2006,90,756300
6111,2007,93,757681
6111,2008,92,762980
6113,1999,16,157721
6113,2000,25,160934
6113,2001,23,167313
6113,2002,26,172220
6113,2003,34,174686
6113,2004,31,176934
6113,2005,30,177700
6113,2006,24,180877
6113,2007,34,185450
6113,2008,28,188150
6115,1999,10,57128
6115,2000,12,57416
6115,2001,11,58422
6115,2002,12,59246
6115,2003,17,59867
6115,2004,14,60902
6115,2005,15,63405
6115,2006,13,66382
6115,2007,12,67828
6115,2008,14,68803
8001,1999,58,343123
8001,2000,30,352519
8001,2001,44,364141
8001,2002,61,374932
8001,2003,50,365289
8001,2004,58,372225
8001,2005,53,382188
8001,2006,48,393010
8001,2007,60,401657
8001,2008,50,410310
8005,1999,53,463540
8005,2000,55,468725
8005,2001,54,482415
8005,2002,65,488439
8005,2003,68,492817
8005,2004,46,497603
8005,2005,61,502549
8005,2006,55,508782
8005,2007,56,518312
8005,2008,64,528070
8013,1999,20,275558
8013,2000,23,280769
8013,2001,16,289939
8013,2002,24,291870
8013,2003,27,268023
8013,2004,23,268805
8013,2005,23,268993
8013,2006,17,272473
8013,2007,22,275357
8013,2008,23,278514
8031,1999,145,517146
8031,2000,126,522853
8031,2001,131,530190
8031,2002,161,525156
8031,2003,137,520912
8031,2004,160,519146
8031,2005,152,520071
8031,2006,132,525554
8031,2007,145,533428
8031,2008,138,545088
8035,2000,12,173250
8035,2003,13,216552
8035,2004,14,228427
8035,2006,15,251118
8035,2007,16,261681
8035,2008,12,269468
8041,1999,48,490109
8041,2000,47,497447
8041,2001,66,515711
8041,2002,44,523500
8041,2003,80,526420
8041,2004,63,534919
8041,2005,59,543325
8041,2006,58,556705
8041,2007,66,562529
8041,2008,67,572592
